MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	104.04492	s	7/23/2025 9:43:55 AM
AXIAL Displacement	AXIAL Force	Time	Date
mm	N	s	d
0.24658069	2792.4536	15.390625	45861
0.24722144	2972.2805	15.490234	45861
0.24842098	2953.2517	15.589844	45861
0.23222342	2895.9255	15.689453	45861
0.24627149	2769.8884	15.789063	45861
0.2521798	2878.9644	15.888672	45861
0.24662539	2978.7722	15.988281	45861
0.24659559	2942.1814	16.087891	45861
0.24133921	2849.7798	16.1875	45861
0.23809075	2858.5168	16.287109	45861
0.25245175	2768.3125	16.386719	45861
0.24426356	3018.4792	16.486328	45861
0.24770945	2898.3853	16.585938	45861
0.24896115	2982.2292	16.685547	45861
0.24600327	2957.25	16.785156	45861
0.25906414	2843.2148	16.884766	45861
0.24565682	2937.3904	16.984375	45861
0.24793297	3008.4761	17.083984	45861
0.25659055	2856.5178	17.183594	45861
0.24655461	2868.6877	17.283203	45861
0.2431795	2862.5154	17.382813	45861
0.25204942	2779.2908	17.482422	45861
0.2623871	2928.9734	17.582031	45861
0.24703518	2833.4688	17.681641	45861
0.24601445	2819.853	17.78125	45861
0.23982674	2792.7961	17.880859	45861
0.24373829	2777.77	17.980469	45861
0.25095046	2656.7852	18.080078	45861
0.24720654	2661.5898	18.179688	45861
0.25154278	2689.8066	18.279297	45861
0.24134666	2677.3325	18.378906	45861
0.23910031	2574.6843	18.478516	45861
0.2464503	2606.8877	18.578125	45861
0.23801997	2538.679	18.677734	45861
0.23732707	2522.0032	18.777344	45861
0.23398921	2494.4829	18.876953	45861
0.23327023	2387.4683	18.976563	45861
0.23427606	2290.6477	19.076172	45861
0.21948665	2204.6716	19.175781	45861
0.21976233	2189.4116	19.275391	45861
0.22695586	2095.8594	19.375	45861
0.23110956	2206.6521	19.474609	45861
0.22244453	2204.2153	19.574219	45861
0.21935254	1909.682	19.673828	45861
0.22204965	1940.9952	19.773438	45861
0.21990016	1857.9718	19.873047	45861
0.20951405	1629.4574	19.972656	45861
0.19687787	1763.7491	20.072266	45861
0.20446256	1446.7687	20.171875	45861
0.20119175	1578.8555	20.271484	45861
0.19049644	1341.0759	20.371094	45861
0.19519031	1226.6003	20.470703	45861
0.18578395	1334.524	20.570313	45861
0.18910691	1228.5909	20.669922	45861
0.19503385	968.10046	20.769531	45861
0.19045174	953.48059	20.869141	45861
0.16742572	849.30475	20.96875	45861
0.16633049	647.58954	21.068359	45861
0.1690127	719.73682	21.167969	45861
0.16106293	610.57648	21.267578	45861
0.16280264	514.03607	21.367188	45861
0.17087907	330.71869	21.466797	45861
0.13890862	344.21866	21.566406	45861
0.15350431	294.90656	21.666016	45861
0.14209747	90.480316	21.765625	45861
0.14071539	79.730064	21.865234	45861
0.13633072	-24.738256	21.964844	45861
0.13467669	-55.328941	22.064453	45861
0.13200194	-58.344566	22.164063	45861
0.1206696	-78.724236	22.263672	45861
0.12610108	-93.882439	22.363281	45861
0.11513382	-95.902473	22.462891	45861
0.1125522	-89.435371	22.5625	45861
0.10277703	-92.4645	22.662109	45861
0.1090616	-125.10037	22.761719	45861
0.091452152	-125.56277	22.861328	45861
0.097434968	-138.3163	22.960938	45861
0.084191561	-114.09726	23.060547	45861
0.090047717	-131.05991	23.160156	45861
0.082410872	-122.31478	23.259766	45861
0.058177859	-128.88341	23.359375	45861
0.073716044	-98.867805	23.458984	45861
0.054385513	-146.23254	23.558594	45861
0.058948994	-158.89015	23.658203	45861
0.057712197	-178.70309	23.757813	45861
0.05203113	-153.31245	23.857422	45861
0.029075891	-142.00247	23.957031	45861
0.032655895	-206.71404	24.056641	45861
0.026661903	-177.40669	24.15625	45861
0.027917325	-143.63602	24.255859	45861
0.015251338	-176.51543	24.355469	45861
0.010699034	-165.79079	24.455078	45861
0.0083968043	-168.98058	24.554688	45861
-0.0058524311	-188.32414	24.654297	45861
0.0030957162	-326.0239	24.753906	45861
-0.0046081841	-381.78638	24.853516	45861
-0.0092573464	-374.04568	24.953125	45861
-0.017754734	-509.21832	25.052734	45861
-0.012651086	-702.42914	25.152344	45861
-0.028204173	-738.58728	25.251953	45861
-0.026710331	-924.39539	25.351563	45861
-0.039540231	-891.78467	25.451172	45861
-0.052131712	-1068.9194	25.550781	45861
-0.049449503	-826.32251	25.650391	45861
-0.052109361	-879.83624	25.75	45861
-0.051543117	-969.47516	25.849609	45861
-0.053931028	-1000.3467	25.949219	45861
-0.066827983	-1096.7162	26.048828	45861
-0.079873949	-1401.3704	26.148438	45861
-0.070683658	-1244.6619	26.248047	45861
-0.081904233	-1571.179	26.347656	45861
-0.088863075	-1576.7109	26.447266	45861
-0.090114772	-1661.0492	26.546875	45861
-0.09150058	-1684.7472	26.646484	45861
-0.10449067	-1927.9764	26.746094	45861
-0.10869652	-1988.0863	26.845703	45861
-0.09957701	-1948.054	26.945313	45861
-0.1200065	-2025.701	27.044922	45861
-0.10956824	-2088.8621	27.144531	45861
-0.12589619	-2201.519	27.244141	45861
-0.13368204	-2310.623	27.34375	45861
-0.14084578	-2399.3445	27.443359	45861
-0.1424402	-2451.9475	27.542969	45861
-0.14268234	-2423.6548	27.642578	45861
-0.14593825	-2490.8787	27.742188	45861
-0.14740229	-2582.4541	27.841797	45861
-0.14523044	-2550.5056	27.941406	45861
-0.16322359	-2668.6675	28.041016	45861
-0.16963854	-2681.6985	28.140625	45861
-0.16456842	-2830.8889	28.240234	45861
-0.16253069	-2812.5952	28.339844	45861
-0.17077848	-2719.9351	28.439453	45861
-0.18306449	-2896.0798	28.539063	45861
-0.17824396	-2883.4138	28.638672	45861
-0.18312037	-2983.2507	28.738281	45861
-0.17796457	-2987.3149	28.837891	45861
-0.19970536	-2948.9744	28.9375	45861
-0.19384176	-3046.0227	29.037109	45861
-0.20255148	-3017.1152	29.136719	45861
-0.21449104	-3112.7363	29.236328	45861
-0.19533187	-3061.1128	29.335938	45861
-0.20876154	-3154.2517	29.435547	45861
-0.20867586	-3180.0652	29.535156	45861
-0.19952282	-3167.1196	29.634766	45861
-0.21168962	-3201.4373	29.734375	45861
-0.22244081	-3232.0647	29.833984	45861
-0.2207011	-3300.176	29.933594	45861
-0.22746995	-3260.5864	30.033203	45861
-0.22558868	-3317.6001	30.132813	45861
-0.22657588	-3311.5261	30.232422	45861
-0.23039058	-3379.3923	30.332031	45861
-0.21736324	-3371.1326	30.431641	45861
-0.2226606	-3342.2605	30.53125	45861
-0.22894889	-3394.0625	30.630859	45861
-0.26006624	-3494.0867	30.730469	45861
-0.24045259	-3372.7976	30.830078	45861
-0.25902689	-3426.1785	30.929688	45861
-0.24305657	-3459.0076	31.029297	45861
-0.23914129	-3455.4824	31.128906	45861
-0.24810061	-3513.4778	31.228516	45861
-0.25170669	-3500.5232	31.328125	45861
-0.2476126	-3423.4272	31.427734	45861
-0.25408715	-3441.7939	31.527344	45861
-0.24406239	-3506.1528	31.626953	45861
-0.2380535	-3500.7578	31.726563	45861
-0.25027618	-3451.3967	31.826172	45861
-0.24081394	-3503.4353	31.925781	45861
-0.24607778	-3518.2507	32.025391	45861
-0.252828	-3532.9109	32.125	45861
-0.24917722	-3496.1262	32.224609	45861
-0.26325881	-3553.0674	32.324219	45861
-0.25635213	-3492.6543	32.423828	45861
-0.24996325	-3534.7957	32.523438	45861
-0.24294853	-3474.7935	32.623047	45861
-0.24259463	-3343.2871	32.722656	45861
-0.25841221	-3428.3279	32.822266	45861
-0.2515018	-3513.0103	32.921875	45861
-0.24721771	-3443.0447	33.021484	45861
-0.24653599	-3434.793	33.121094	45861
-0.24878606	-3291.4233	33.220703	45861
-0.24396554	-3416.813	33.320313	45861
-0.24585426	-3311.5383	33.419922	45861
-0.2554208	-3328.8906	33.519531	45861
-0.23023784	-3129.3342	33.619141	45861
-0.24100021	-3153.1677	33.71875	45861
-0.25112927	-3194.1245	33.818359	45861
-0.23976341	-3008.1736	33.917969	45861
-0.23309514	-3014.8215	34.017578	45861
-0.2354458	-3077.3972	34.117188	45861
-0.21615997	-2730.3203	34.216797	45861
-0.22570416	-2862.5327	34.316406	45861
-0.22718683	-2950.9785	34.416016	45861
-0.22418424	-2709.0339	34.515625	45861
-0.22632256	-2738.2773	34.615234	45861
-0.22029877	-2687.7383	34.714844	45861
-0.22767857	-2608.2112	34.814453	45861
-0.21335855	-2604.3594	34.914063	45861
-0.1991801	-2493.3494	35.013672	45861
-0.2104789	-2453.5894	35.113281	45861
-0.20616129	-2340.604	35.212891	45861
-0.19340962	-2221.3501	35.3125	45861
-0.21036714	-2149.2751	35.412109	45861
-0.19555911	-2093.6128	35.511719	45861
-0.20090491	-2056.199	35.611328	45861
-0.18631294	-2038.7861	35.710938	45861
-0.18283352	-1930.2815	35.810547	45861
-0.18855557	-2020.3752	35.910156	45861
-0.18265098	-1907.0687	36.009766	45861
-0.16282499	-1829.7336	36.109375	45861
-0.18629432	-1827.9883	36.208984	45861
-0.16681477	-1706.4434	36.308594	45861
-0.16871095	-1727.2556	36.408203	45861
-0.17123297	-1620.0002	36.507813	45861
-0.16596168	-1560.7858	36.607422	45861
-0.16013905	-1506.5865	36.707031	45861
-0.15032664	-1491.3734	36.806641	45861
-0.14879182	-1345.9088	36.90625	45861
-0.13845414	-1369.814	37.005859	45861
-0.12260675	-1214.4414	37.105469	45861
-0.14105812	-1223.0199	37.205078	45861
-0.13160333	-1052.0964	37.304688	45861
-0.11974946	-1140.7892	37.404297	45861
-0.12403727	-924.38983	37.503906	45861
-0.11379272	-842.02502	37.603516	45861
-0.10444224	-798.95508	37.703125	45861
-0.11317804	-705.29846	37.802734	45861
-0.10857359	-622.68738	37.902344	45861
-0.097069889	-563.96704	38.001953	45861
-0.096835196	-484.23187	38.101563	45861
